36	319	11	15	B	0.9958290814750961
36	354	11	15	A	0.9958290814750961
36	389	11	15	B	0.9958290814750961
36	755	11	15	E	0.9958290814750961
36	790	11	15	F	0.9958290814750961
36	825	11	15	C	0.9958290814750961
47	179	11	15	F	0.9958290814750961
47	214	11	15	B	0.9958290814750961
47	249	11	15	C	0.9958290814750961
47	424	11	15	A	0.9958290814750961
47	494	11	15	D	0.9958290814750961
47	615	11	15	C	0.9958290814750961
47	650	11	15	F	0.9958290814750961
47	685	11	15	C	0.9958290814750961
47	860	11	15	A	0.9958290814750961
47	929	11	15	G	0.9958290814750961
58	110	11	15	F	0.9958290814750961
58	546	11	15	B	0.9958290814750961
58	981	11	15	G	0.9958290814750961
75	145	11	15	B	0.9958290814750961
75	581	11	15	G	0.9958290814750961
86	1083	11	15	F	0.9958290814750961
134	459	11	15	B	0.9958290814750961
134	894	11	15	C	0.9958290814750961
150	109	11	15	F	0.9958290814750961
150	980	11	15	D	0.9958290814750961
168	458	11	15	C	0.9958290814750961
168	893	11	15	C	0.9958290814750961
190	1083	11	15	A	0.9958290814750961
35	1160	33	15	quarter_rest	0.03648782884929189
156	246	33	15	quarter_rest	0.03648782884929189
156	682	33	15	quarter_rest	0.03648782884929189
156	1160	33	15	quarter_rest	0.03648782884929189
38	1029	27	16	eighth_rest	0.0836246305482496
159	387	27	16	eighth_rest	0.0836246305482496
159	823	27	16	eighth_rest	0.0836246305482496
159	1029	27	16	eighth_rest	0.0836246305482496
